Record Id,Unit No.,Bedrooms,Status,Unit Suite/  Internal Size (sq.ft),Balcony Size (sq.ft),Net Unit Size (sq.ft),Rate AED/ Sq.Ft,Selling price,Pre Launch Price,Floor Plan URL,Unit Inventory Owner.id,Unit Inventory Owner
zcrm_6686831000013407085,201,1 BR,Available,638.08,196.87,834.96,1550,1423606.8,1294188,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407086,202,1 BR,Available,633.24,194.07,827.31,1550,1410563.55,1282330.5,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407087,203,STUDIO,Sold,313,97,410,2000,911156,820040,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407088,204,1 BR,Blocked,625.38,193.86,819.24,1550,1396804.2,1269822,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407089,205,2 BR,Available,1009.44,622.91,1632.35,1475,2648487.88,2407716.25,https://workdrive.zohoexternal.com/external/a001865668f6dc311f6468983f65b634051b9236cbe1a131e96482b4b6ed3a64/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407090,206,2 BR,Available,868.22,700.19,1568.41,1300,2242826.3,2038933,https://workdrive.zohoexternal.com/external/60084b3c632b959428194ef9ceb50329ca016f57d9fa02d85e3cb7209bc266a3/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407091,207,STUDIO,Available,311.72,173.94,485.67,1580,844094.46,767358.6,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407092,208,STUDIO,Available,311.62,174.05,485.67,1580,844094.46,767358.6,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407093,209,STUDIO,Blocked,311.62,97.09,408.7,1750,786747.5,715225,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407094,210,STUDIO,Sold,313,97,410,1750,797261,717535,https://workdrive.zohoexternal.com/external/9355c0ddb6e56bef0040d4fe2bd305fe6c8d6327ed0a4962139a12f236deb939/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407095,211,1 BR,Blocked,634.1,194.07,828.18,1325,1207072.35,1097338.5,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407096,212,2 BR,Available,849.92,417.21,1267.13,1325,1846841.98,1678947.25,https://workdrive.zohoexternal.com/external/71e6409476c945a06972198a88a2a09f3f5d967883249b00dcec6b7e06798935/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407097,213,1 BR,Sold,633,155,788,1325,1160538,1044484,https://workdrive.zohoexternal.com/external/3045aca464a9765060aa8f88eba998866afce38099ecdab8b88ba86ad64a9a95/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407098,214,1 BR,Available,630.33,194.83,825.16,1325,1202670.7,1093337,https://workdrive.zohoexternal.com/external/0e08cb3d1543503dcaab939480e89f86d7397f59c4dfaf639ca096acd45b7e98/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407099,215,1 BR,Available,633.46,193.86,827.31,1325,1205804.33,1096185.75,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407100,216,1 BR,Blocked,626.57,193.32,819.89,1325,1194989.68,1086354.25,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407101,217,2 BR,Available,1010.19,619.57,1629.76,1200,2151283.2,1955712,https://workdrive.zohoexternal.com/external/a001865668f6dc311f6468983f65b634051b9236cbe1a131e96482b4b6ed3a64/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407102,218,2 BR,Available,867.46,703.85,1571.32,1475,2549466.7,2317697,https://workdrive.zohoexternal.com/external/60084b3c632b959428194ef9ceb50329ca016f57d9fa02d85e3cb7209bc266a3/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407103,219,1 BR,Available,636.36,196.76,833.13,1500,1374664.5,1249695,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407104,301,1 BR,Hold,638.08,196.66,834.74,1558,1430577.41,1300524.92,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407105,302,1 BR,Hold,633.35,193.97,827.31,1558,1417843.88,1288948.98,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407106,303,STUDIO,Sold,313,97,410,2008,914800,823320,https://workdrive.zohoexternal.com/external/100ad34fe5e6c80ffd5f9f0de1887b841d29b32cd20001a99ae5f45e79403187/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407107,304,1 BR,Blocked,625.06,194.07,819.13,1558,1403824.99,1276204.54,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407108,305,2 BR,Hold,1007.18,326.79,1333.97,1533,2249473.61,2044976.01,https://workdrive.zohoexternal.com/external/b88642a2e89e3effd1d24279e70ee57992b8dd56964de2d5a702fc20aef21b9b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407109,306,2 BR,Available,868.32,286.86,1155.18,1333,1693840.43,1539854.94,https://workdrive.zohoexternal.com/external/00e11841cdd9279325dde66e1683f3d058d89d6f7d6f8b3046f855d6256f1729/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407110,307,STUDIO,Hold,311.72,173.94,485.67,1588,848368.36,771243.96,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407111,308,STUDIO,Hold,311.62,173.94,485.56,1588,848176.21,771069.28,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407112,309,STUDIO,Blocked,311.62,97.09,408.71,1758,790363.4,718512.18,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407113,310,STUDIO,Blocked,311.62,97.09,408.71,1758,790363.4,718512.18,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407114,311,1 BR,Hold,634.1,194.07,828.18,1333,1214360.33,1103963.94,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407115,312,1 BR,Blocked,622.8,179.22,802.02,1333,1176001.93,1069092.66,https://workdrive.zohoexternal.com/external/44f015e69ab511f208c3845d953ae02fe01ea48ccb05cf4f80e30a6f5cd21cab/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407116,313,2 BR,Available,909.98,725.7,1635.68,1233,2218472.78,2016793.44,https://workdrive.zohoexternal.com/external/679c4093bda67f5ea41983cc3ee06a13e03272b7c3e485e1f20086cadf01dda3/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407117,314,STUDIO,Sold,313,97,410,1758,800906,720815,https://workdrive.zohoexternal.com/external/a209e635b66d9c2671b1dcadec633ad3c8caad2b39e6a7ed7b0ada767ce1dde6/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407118,315,1 BR,Available,633.46,193.86,827.31,1333,1213084.65,1102804.23,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407119,316,1 BR,Blocked,626.67,193.1,819.78,1333,1202043.41,1092766.74,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407120,317,2 BR,Available,1009.33,322.16,1331.5,1483,2172075.95,1974614.5,https://workdrive.zohoexternal.com/external/b88642a2e89e3effd1d24279e70ee57992b8dd56964de2d5a702fc20aef21b9b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407121,318,2 BR,Sold,887,289,1177,1533,2004380,1803942,https://workdrive.zohoexternal.com/external/00e11841cdd9279325dde66e1683f3d058d89d6f7d6f8b3046f855d6256f1729/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407122,319,1 BR,Available,636.58,196.33,832.91,1558,1427441.16,1297673.78,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407123,401,1 BR,Hold,638.08,196.98,835.06,1566,1438474.36,1307703.96,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407124,402,1 BR,Available,633.35,193.97,827.31,1566,1425124.21,1295567.46,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407125,403,STUDIO,Sold,313,97,410,2016,918467,826620,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407126,404,2 BR,Hold,867.25,687.06,1554.31,1491,2549223.83,2317476.21,https://workdrive.zohoexternal.com/external/b11e12c664fa0a0dd2fde14ca4de97d70ed709e2b5f21598b8e134f6eeecf35f/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407127,405,2 BR,Hold,1011.38,635.72,1647.09,1441,2610802.36,2373456.69,https://workdrive.zohoexternal.com/external/04ca3945e774f01c7b5dc94f15f33620352aa7735846001d7fd870b74dea5a97/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407128,406,1 BR,Available,626.78,193,819.78,1341,1209257.48,1099324.98,https://workdrive.zohoexternal.com/external/02b9cc9c299e82513d66f3dcbf5d7e1882d78711d66977cda3e8af9d5a5c9951/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407129,407,STUDIO,Available,311.72,173.94,485.67,1596,852642.25,775129.32,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407130,408,STUDIO,Available,311.62,173.94,485.56,1596,852449.14,774953.76,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407131,409,STUDIO,Sold,313,97,410,1766,804550,724095,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407132,410,STUDIO,Blocked,311.62,97.09,408.71,1766,793960.05,721781.86,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407133,411,1 BR,Blocked,634.21,194.07,828.28,1341,1221795.83,1110723.48,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407134,412,1 BR,Hold,650.79,178.68,829.47,1341,1223551.2,1112319.27,https://workdrive.zohoexternal.com/external/44f015e69ab511f208c3845d953ae02fe01ea48ccb05cf4f80e30a6f5cd21cab/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407135,413,1 BR,Sold,639,149,788,1341,1174150,1056735,https://workdrive.zohoexternal.com/external/3dfc2cde57e71ff3e28d0b6526d68f6c29275e65fc425298480aa145201f1b6c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407136,414,1 BR,Available,631.2,193.97,825.16,1341,1217193.52,1106539.56,https://workdrive.zohoexternal.com/external/0e08cb3d1543503dcaab939480e89f86d7397f59c4dfaf639ca096acd45b7e98/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407137,415,1 BR,Blocked,632.92,194.29,827.21,1341,1220217.47,1109288.61,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407138,416,2 BR,Hold,864.56,703.96,1568.52,1316,2270589.55,2064172.32,https://workdrive.zohoexternal.com/external/e7e4f7728e63e9ed14fa5f0886d557211b90936799c777847c27cd1fc0e089ca/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407139,417,2 BR,Hold,1009.98,623.45,1633.42,1491,2678972.14,2435429.22,https://workdrive.zohoexternal.com/external/04ca3945e774f01c7b5dc94f15f33620352aa7735846001d7fd870b74dea5a97/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407140,418,1 BR,Sold,630,191,821,1566,1428522,1285670,https://workdrive.zohoexternal.com/external/02b9cc9c299e82513d66f3dcbf5d7e1882d78711d66977cda3e8af9d5a5c9951/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407141,419,1 BR,Hold,636.58,196.23,832.8,1566,1434581.28,1304164.8,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407142,501,1 BR,Available,638.08,196.98,835.06,1574,1445822.88,1314384.44,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407143,502,1 BR,Available,633.35,193.97,827.31,1574,1432404.53,1302185.94,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407144,503,STUDIO,Booked - Pending Payment Confirmation,313,97,410,2024,922089,829880,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407145,504,2 BR,Available,867.14,286.21,1153.35,1549,1965193.06,1786539.15,https://workdrive.zohoexternal.com/external/cfb6d55c6910dd119a460406084a88a9b3e0294768a8b4270d7b1ee855c61150/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407146,505,2 BR,Available,1011.59,323.56,1335.16,1499,2201545.32,2001404.84,https://workdrive.zohoexternal.com/external/abf89461183b7fdf94f164ff11cf84819c2d50697a35099257a74f712a6d57df/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407147,506,1 BR,Blocked,627.32,192.57,819.89,1349,1216634.77,1106031.61,https://workdrive.zohoexternal.com/external/02b9cc9c299e82513d66f3dcbf5d7e1882d78711d66977cda3e8af9d5a5c9951/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407148,507,STUDIO,Available,311.72,173.94,485.67,1604,856916.15,779014.68,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407149,508,STUDIO,Booked - Pending Payment Confirmation,311.62,173.94,485.56,1604,856722.06,778838.24,https://workdrive.zohoexternal.com/external/6f93056aed83cfe12a70c82b4460081399ff8f4219e980382a40a1d86a3a204c/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407150,509,STUDIO,Sold,313,97,410,1774,808194,727375,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407151,510,STUDIO,Booked - Pending Payment Confirmation,313,97,410,1774,808194,727375,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407152,511,1 BR,Available,634.1,194.07,828.18,1349,1228936.3,1117214.82,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407153,512,2 BR,Available,850.46,416.13,1266.59,1349,1879492.9,1708629.91,https://workdrive.zohoexternal.com/external/71e6409476c945a06972198a88a2a09f3f5d967883249b00dcec6b7e06798935/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407154,513,1 BR,Sold,633,155,788,1349,1181559,1063403,https://workdrive.zohoexternal.com/external/3045aca464a9765060aa8f88eba998866afce38099ecdab8b88ba86ad64a9a95/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407155,514,1 BR,Hold,631.2,193.97,825.16,1349,1224454.92,1113140.84,https://workdrive.zohoexternal.com/external/0e08cb3d1543503dcaab939480e89f86d7397f59c4dfaf639ca096acd45b7e98/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407156,515,1 BR,Available,632.92,194.29,827.21,1349,1227496.92,1115906.29,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407157,516,2 BR,Available,867.57,287.5,1155.08,1349,1714023.21,1558202.92,https://workdrive.zohoexternal.com/external/cfb6d55c6910dd119a460406084a88a9b3e0294768a8b4270d7b1ee855c61150/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407158,517,2 BR,Available,1006.75,323.02,1329.77,1549,2265795.1,2059813.73,https://workdrive.zohoexternal.com/external/abf89461183b7fdf94f164ff11cf84819c2d50697a35099257a74f712a6d57df/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407159,518,1 BR,Sold,630,191,822,1574,1436904,1293214,https://workdrive.zohoexternal.com/external/02b9cc9c299e82513d66f3dcbf5d7e1882d78711d66977cda3e8af9d5a5c9951/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407160,519,1 BR,Blocked,636.58,196.23,832.8,1574,1441909.92,1310827.2,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407161,601,1 BR,Available,638.08,196.87,834.96,1582,1452997.39,1320906.72,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407162,602,1 BR,Available,633.24,194.07,827.31,1582,1439684.86,1308804.42,https://workdrive.zohoexternal.com/external/4e6bd58d14499b96847d927247944a54111542b430d9da1f1b556d088b9c64f4/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407163,603,STUDIO,Sold,313,97,410,2032,925734,833161,https://workdrive.zohoexternal.com/external/b08bdd762fc0b702c5440424d1cd22b1ae51b65a39a97c4f201af1f1794ad29b/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407164,604,1 BR,Sold,636,192,828,1582,1456073,1310466,https://workdrive.zohoexternal.com/external/0f3266281bc52fb1ca6f7c5c97286f856e3680d69535a86ffcdaa300d2e0dd48/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407165,605,2 BR,Hold,1009.44,622.91,1632.35,1507,2705946.6,2459951.45,https://workdrive.zohoexternal.com/external/a001865668f6dc311f6468983f65b634051b9236cbe1a131e96482b4b6ed3a64/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
zcrm_6686831000013407166,606,2 BR,Hold,868.22,700.19,1568.41,1332,2298034.33,2089122.12,https://workdrive.zohoexternal.com/external/60084b3c632b959428194ef9ceb50329ca016f57d9fa02d85e3cb7209bc266a3/download?directDownload=true,zcrm_6686831000000503001,Zoho Admin
